Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
0,Vcenter Process Memory Tampered,Tampering,Diagram 1,vCenter to Switch,High,Not Started,,"Vcenter to Switch: If Vcenter is given access to memory, such as shared memory or pointers, or is given the ability to control what Switch executes (for example, passing back a function pointer.), then Vcenter can tamper with Switch. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
1,Replay Attacks,Tampering,Diagram 1,vCenter to Switch,High,Not Started,,Vcenter to Switch: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
2,Collision Attacks,Tampering,Diagram 1,vCenter to Switch,High,Not Started,,"Vcenter to Switch: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
3,Weak Authentication Scheme,Information Disclosure,Diagram 1,vCenter to Switch,High,Not Started,,"Vcenter to Switch: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
4,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,vCenter to Switch,High,Not Started,,Vcenter to Switch: Switch may be able to impersonate the context of Vcenter in order to gain additional privilege.,,Generated
5,Replay Attacks,Tampering,Diagram 1,Switch to vCenter,High,Not Started,,Switch to Vcenter: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
6,Collision Attacks,Tampering,Diagram 1,Switch to vCenter,High,Not Started,,"Switch to Vcenter: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
7,Authenticated Data Flow Compromised,Tampering,Diagram 1,Switch to vCenter,High,Not Started,,Switch to Vcenter: An attacker can read or modify data transmitted over an authenticated dataflow.,,Generated
8,Weak Authentication Scheme,Information Disclosure,Diagram 1,Switch to vCenter,High,Not Started,,"Switch to Vcenter: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
9,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Switch to vCenter,High,Not Started,,Switch to Vcenter: Vcenter may be able to impersonate the context of Switch in order to gain additional privilege.,,Generated
10,Switch Process Memory Tampered,Tampering,Diagram 1,Switch to Firewall,High,Not Started,,"Switch to Firewall: If Switch is given access to memory, such as shared memory or pointers, or is given the ability to control what Firewall executes (for example, passing back a function pointer.), then Switch can tamper with Firewall. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
11,Replay Attacks,Tampering,Diagram 1,Switch to Firewall,High,Not Started,,Switch to Firewall: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
12,Collision Attacks,Tampering,Diagram 1,Switch to Firewall,High,Not Started,,"Switch to Firewall: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
13,Weak Authentication Scheme,Information Disclosure,Diagram 1,Switch to Firewall,High,Not Started,,"Switch to Firewall: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
14,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Switch to Firewall,High,Not Started,,Switch to Firewall: Firewall may be able to impersonate the context of Switch in order to gain additional privilege.,,Generated
15,Firewall Process Memory Tampered,Tampering,Diagram 1,Firewall to Switch,High,Not Started,,"Firewall to Switch: If Firewall is given access to memory, such as shared memory or pointers, or is given the ability to control what Switch executes (for example, passing back a function pointer.), then Firewall can tamper with Switch. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
16,Replay Attacks,Tampering,Diagram 1,Firewall to Switch,High,Not Started,,Firewall to Switch: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
17,Collision Attacks,Tampering,Diagram 1,Firewall to Switch,High,Not Started,,"Firewall to Switch: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
18,Weak Authentication Scheme,Information Disclosure,Diagram 1,Firewall to Switch,High,Not Started,,"Firewall to Switch: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
19,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Firewall to Switch,High,Not Started,,Firewall to Switch: Switch may be able to impersonate the context of Firewall in order to gain additional privilege.,,Generated
20,Replay Attacks,Tampering,Diagram 1,vCenter to Workstation,High,Not Started,,Vcenter to Workstation: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
21,Collision Attacks,Tampering,Diagram 1,vCenter to Workstation,High,Not Started,,"Vcenter to Workstation: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
22,Weak Authentication Scheme,Information Disclosure,Diagram 1,vCenter to Workstation,High,Not Started,,"Vcenter to Workstation: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
23,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,vCenter to Workstation,High,Not Started,,Vcenter to Workstation: Workstation may be able to impersonate the context of Vcenter in order to gain additional privilege.,,Generated
24,Vcenter Process Memory Tampered,Tampering,Diagram 1,vCenter to Server,High,Not Started,,"Vcenter to Server: If Vcenter is given access to memory, such as shared memory or pointers, or is given the ability to control what Server executes (for example, passing back a function pointer.), then Vcenter can tamper with Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
25,Replay Attacks,Tampering,Diagram 1,vCenter to Server,High,Not Started,,Vcenter to Server: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
26,Collision Attacks,Tampering,Diagram 1,vCenter to Server,High,Not Started,,"Vcenter to Server: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
27,Weak Authentication Scheme,Information Disclosure,Diagram 1,vCenter to Server,High,Not Started,,"Vcenter to Server: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
28,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,vCenter to Server,High,Not Started,,Vcenter to Server: Server may be able to impersonate the context of Vcenter in order to gain additional privilege.,,Generated
29,Vcenter Process Memory Tampered,Tampering,Diagram 1,vCenter to BS(Backup And Restore) solution,High,Not Started,,"Vcenter to BS(Backup and Restore) Solution: If Vcenter is given access to memory, such as shared memory or pointers, or is given the ability to control what BS(Backup and Restore) Solution executes (for example, passing back a function pointer.), then Vcenter can tamper with BS(Backup and Restore) Solution. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
30,Replay Attacks,Tampering,Diagram 1,vCenter to BS(Backup And Restore) solution,High,Not Started,,Vcenter to BS(Backup and Restore) Solution: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
31,Collision Attacks,Tampering,Diagram 1,vCenter to BS(Backup And Restore) solution,High,Not Started,,"Vcenter to BS(Backup and Restore) Solution: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
32,Weak Authentication Scheme,Information Disclosure,Diagram 1,vCenter to BS(Backup And Restore) solution,High,Not Started,,"Vcenter to BS(Backup and Restore) Solution: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
33,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,vCenter to BS(Backup And Restore) solution,High,Not Started,,Vcenter to BS(Backup and Restore) Solution: BS(Backup and Restore) Solution may be able to impersonate the context of Vcenter in order to gain additional privilege.,,Generated
34,Vcenter Process Memory Tampered,Tampering,Diagram 1,vCenter to NTP,High,Not Started,,"Vcenter to NTP: If Vcenter is given access to memory, such as shared memory or pointers, or is given the ability to control what NTP executes (for example, passing back a function pointer.), then Vcenter can tamper with NTP. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
35,Replay Attacks,Tampering,Diagram 1,vCenter to NTP,High,Not Started,,Vcenter to NTP: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
36,Collision Attacks,Tampering,Diagram 1,vCenter to NTP,High,Not Started,,"Vcenter to NTP: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
37,Weak Authentication Scheme,Information Disclosure,Diagram 1,vCenter to NTP,High,Not Started,,"Vcenter to NTP: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
38,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,vCenter to NTP,High,Not Started,,Vcenter to NTP: NTP may be able to impersonate the context of Vcenter in order to gain additional privilege.,,Generated
39,Vcenter Process Memory Tampered,Tampering,Diagram 1,"vCenter to ""ESXi or Harvester""",High,Not Started,,"Vcenter to ""ESXi Or Harvester"": If Vcenter is given access to memory, such as shared memory or pointers, or is given the ability to control what ""ESXi Or Harvester"" executes (for example, passing back a function pointer.), then Vcenter can tamper with ""ESXi Or Harvester"". Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
40,Replay Attacks,Tampering,Diagram 1,"vCenter to ""ESXi or Harvester""",High,Not Started,,"Vcenter to ""ESXi Or Harvester"": Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.",,Generated
41,Collision Attacks,Tampering,Diagram 1,"vCenter to ""ESXi or Harvester""",High,Not Started,,"Vcenter to ""ESXi Or Harvester"": Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
42,Weak Authentication Scheme,Information Disclosure,Diagram 1,"vCenter to ""ESXi or Harvester""",High,Not Started,,"Vcenter to ""ESXi Or Harvester"": Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
43,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,"vCenter to ""ESXi or Harvester""",High,Not Started,,"Vcenter to ""ESXi Or Harvester"": ""ESXi Or Harvester"" may be able to impersonate the context of Vcenter in order to gain additional privilege.",,Generated
44,Vcenter Process Memory Tampered,Tampering,Diagram 1,vCenter to Firewall,High,Not Started,,"Vcenter to Firewall: If Vcenter is given access to memory, such as shared memory or pointers, or is given the ability to control what Firewall executes (for example, passing back a function pointer.), then Vcenter can tamper with Firewall. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
45,Replay Attacks,Tampering,Diagram 1,vCenter to Firewall,High,Not Started,,Vcenter to Firewall: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
46,Collision Attacks,Tampering,Diagram 1,vCenter to Firewall,High,Not Started,,"Vcenter to Firewall: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
47,Weak Authentication Scheme,Information Disclosure,Diagram 1,vCenter to Firewall,High,Not Started,,"Vcenter to Firewall: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
48,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,vCenter to Firewall,High,Not Started,,Vcenter to Firewall: Firewall may be able to impersonate the context of Vcenter in order to gain additional privilege.,,Generated
49,Replay Attacks,Tampering,Diagram 1,Switch to workstation,High,Not Started,,Switch to Workstation: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
50,Collision Attacks,Tampering,Diagram 1,Switch to workstation,High,Not Started,,"Switch to Workstation: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
51,Weak Authentication Scheme,Information Disclosure,Diagram 1,Switch to workstation,High,Not Started,,"Switch to Workstation: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
52,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Switch to workstation,High,Not Started,,Switch to Workstation: Workstation may be able to impersonate the context of Switch in order to gain additional privilege.,,Generated
53,Replay Attacks,Tampering,Diagram 1,workstation to vCenter,High,Not Started,,Workstation to Vcenter: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
54,Collision Attacks,Tampering,Diagram 1,workstation to vCenter,High,Not Started,,"Workstation to Vcenter: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
55,Weak Authentication Scheme,Information Disclosure,Diagram 1,workstation to vCenter,High,Not Started,,"Workstation to Vcenter: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
56,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,workstation to vCenter,High,Not Started,,Workstation to Vcenter: Vcenter may be able to impersonate the context of Workstation in order to gain additional privilege.,,Generated
57,Workstation Process Memory Tampered,Tampering,Diagram 1,workstation to switch,High,Not Started,,"Workstation to Switch: If Workstation is given access to memory, such as shared memory or pointers, or is given the ability to control what Switch executes (for example, passing back a function pointer.), then Workstation can tamper with Switch. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
58,Replay Attacks,Tampering,Diagram 1,workstation to switch,High,Not Started,,Workstation to Switch: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
59,Collision Attacks,Tampering,Diagram 1,workstation to switch,High,Not Started,,"Workstation to Switch: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
60,Weak Authentication Scheme,Information Disclosure,Diagram 1,workstation to switch,High,Not Started,,"Workstation to Switch: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
61,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,workstation to switch,High,Not Started,,Workstation to Switch: Switch may be able to impersonate the context of Workstation in order to gain additional privilege.,,Generated
62,Workstation Process Memory Tampered,Tampering,Diagram 1,Workstation to Firewall,High,Not Started,,"Workstation to Firewall: If Workstation is given access to memory, such as shared memory or pointers, or is given the ability to control what Firewall executes (for example, passing back a function pointer.), then Workstation can tamper with Firewall. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
63,Replay Attacks,Tampering,Diagram 1,Workstation to Firewall,High,Not Started,,Workstation to Firewall: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
64,Collision Attacks,Tampering,Diagram 1,Workstation to Firewall,High,Not Started,,"Workstation to Firewall: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
65,Weak Authentication Scheme,Information Disclosure,Diagram 1,Workstation to Firewall,High,Not Started,,"Workstation to Firewall: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
