Threat_ShortTitle,Threat_Category,Threat_Description,SL1 Req,SL2 Req,SL3 Req,SL4 Req,PCyA allocated to ,Tool shall Compare with
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,Not applicable,CR 1.2,CR 1.2 RE (1),CR 1.2 RE (1),{target.Name} ,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.5,CR 1.2 and CR 1.14,CR 1.2 RE (1) and CR 1.1 RE (2) and CR 1.9 RE (1),CR 1.2 RE (1) and CR 1.1 RE (2),{source.Name} ,{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH 
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",Not applicable,Check Manually,Check Manually,Check Manually,Check Manually,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking."
LDAP Certificate Spoofing {target.Name},S,"In many institutions, LDAP servers use self-signed certificates.  Recommend providing client-side options like certificate caching or allowing users to manually load the server certificate to protect against rogue LDAP servers.",Not applicable,Check Manually,Check Manually,Check Manually,Check Manually, LDAP servers use self-signed certificates
Spoofing the {source.Name} Process,S,{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Consider using a standard authentication mechanism to identify the source process.,Not applicable,CR 1.2,CR 1.2 RE (1),CR 1.2 RE (1),{source.Name} ,may be spoofed by an attacker
Spoofing the {target.Name} Process,S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}. Consider using a standard authentication mechanism to identify the destination process.,Not applicable,CR 1.2,CR 1.2 RE (1),CR 1.2 RE (1),{target.Name} ,may be spoofed by an attacker
Spoofing the {source.Name} External Entity,S,{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Consider using a standard authentication mechanism to identify the external entity.,Not applicable,CR 1.2,CR 1.2 RE (1),CR 1.2 RE (1),{source.Name} ,may be spoofed by an attacker
Spoofing of Source Data Store {source.Name},S,{source.Name} may be spoofed by an attacker and this may lead to incorrect data delivered to {target.Name}. Consider using a standard authentication mechanism to identify the source data store.,Not applicable,CR 1.2,CR 1.2 RE (1),CR 1.2 RE (1),{source.Name} ,may be spoofed by an attacker
Spoofing of Destination Data Store {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of {target.Name}. Consider using a standard authentication mechanism to identify the destination data store.,Not applicable,CR 1.2,CR 1.2 RE (1),CR 1.2 RE (1),{target.Name} ,may be spoofed by an attacker
Spoofing of the {target.Name} External Destination Entity,S,{target.Name} may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of {target.Name}. Consider using a standard authentication mechanism to identify the external entity.,Not applicable,CR 1.2,CR 1.2 RE (1),CR 1.2 RE (1),{target.Name} ,may be spoofed by an attacker
Potential Lack of Input Validation for {target.Name},T,Data flowing across {flow.Name} may be tampered with by an attacker. This may lead to a denial of service attack against {target.Name} or an elevation of privilege attack against {target.Name} or an information disclosure by {target.Name}. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,CR 3.1 and SAR 3.2 and EDR 3.2 and HDR 3.2 and NDR 3.2,CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),{target.Name} ,
{source.Name} Process Memory Tampered,T,"If {source.Name} is given access to memory, such as shared memory or pointers, or is given the ability to control what {target.Name} executes (for example, passing back a function pointer.), then {source.Name} can tamper with {target.Name}. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",CR 3.1 and SAR 3.2 and EDR 3.2 and HDR 3.2 and NDR 3.2,CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),{target.Name} ,
Replay Attacks,T,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,Not applicable,CR 3.8,CR 3.8,CR 3.8,{source.Name} ,
Collision Attacks,T,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",Check Manually,Check Manually,Check Manually,Check Manually,,
Risks from Logging,T,"Log readers can come under attack via log files. Consider ways to canonicalize data in all logs. Implement a single reader for the logs, if possible, in order to reduce attack surface area. Be sure to understand and document log file elements which come from untrusted sources.",CR 6.1,CR 6.2,CR 6.1 RE (1),CR 6.1 RE (1),{source.Name} ,
Authenticated Data Flow Compromised,T,An attacker can read or modify data transmitted over an authenticated dataflow.,CR 3.1 and SAR 3.2 and EDR 3.2 and HDR 3.2 and NDR 3.2,CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),{target.Name}  and {source.Name} ,
Potential SQL Injection Vulnerability for {target.Name},T,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,Check Manually,Check Manually,Check Manually,Check Manually,,
Possible SQL Injection Vulnerability for {target.Name},T,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,Check Manually,Check Manually,Check Manually,Check Manually,,
XML DTD and XSLT Processing,T,"If a dataflow contains XML, XML processing threats (DTD and XSLT code execution) may be exploited.",Check Manually,Check Manually,Check Manually,Check Manually,,
JavaScript Object Notation Processing,T,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.",Check Manually,Check Manually,Check Manually,Check Manually,,
Cross Site Scripting,T,The web server '{target.Name}' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,Check Manually,Check Manually,Check Manually,Check Manually,,
Persistent Cross Site Scripting,T,The web server '{target.Name}' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store '{source.Name}' inputs and output.,Check Manually,Check Manually,Check Manually,Check Manually,,
The {target.Name} Data Store Could Be Corrupted,T,Data flowing across {flow.Name} may be tampered with by an attacker. This may lead to corruption of {target.Name}. Ensure the integrity of the data flow to the data store.,Check Manually,Check Manually,Check Manually,Check Manually,,
DICOM Data Tampering,T,"Tampering with DICOM data could result incorrect medical record content thereby resulting in misdiagnosis, incorrect treatment, etc. Consider using DICOM TLS to mitigate this risk.",Check Manually,Check Manually,Check Manually,Check Manually,,
LDAP Tampering {target.Name},T,Tampering with LDAP communications could allow unauthorized individuals to log in to a medical device.  Recommend using LDAPS with certificate checking enabled.,Check Manually,Check Manually,Check Manually,Check Manually,,
LDAP Injection from {source.Name},T,"LDAP Injection occurs when an attacker crafts special user input in a fashion that alters the intended communication with the server.  If an application does not correctly sanitize user input, itâ€™s possible to change LDAP statements in a fashion similar to SQL Injection. LDAP injection attacks could result in the granting of permissions to unauthorized queries, or in some cases even modifying the LDAP tree.",Check Manually,Check Manually,Check Manually,Check Manually,,
HL7 Tampering,T,"Tampering with {flow.Name} could result incorrect medical record content thereby resulting in misdiagnosis, incorrect treatment, billing, etc.  Tampering with an HL7 connection  would enable attackers to provide false personally identifiable health information, order prescription medications, order unnecessary tests, discharge/admit individuals, or to provide inaccurate information regarding allergies. Take design measures to encapsulate this data in an encrypted tunnel (IPSec VPN, SSH tunnel, TLS, etc).",Check Manually,Check Manually,Check Manually,Check Manually,,
Tampering with {source.Name} configuration,T,Attackers may attempt to alter the code or configuration settings of {source.Name} with an intent to harm patients.  Consider using code signing and cryptographic signatures on configuration files to mitigate this risk.,Check Manually,Check Manually,Check Manually,Check Manually,,
Tampering with {target.Name} configuration,T,Attackers may attempt to alter the code or configuration settings of {target.Name} with an intent to harm patients.  Consider using code signing and cryptographic signatures on configuration files to mitigate this risk.,Check Manually,Check Manually,Check Manually,Check Manually,,
Tampering with communications to {target.Name},T,"An attacker may tamper with communications to {target.Name}, potentially causing patient harm.  Recommend checking the integrity of all communications to the {target.Name}.",Check Manually,Check Manually,Check Manually,Check Manually,,
CANBUS Tampering,T,Canbus connections are not protected from other devices on the bus.  Physical access control restrictions must be used for this type of bus.  Be very certain that all other devices connected to the canbus are fully trusted.,Check Manually,Check Manually,Check Manually,Check Manually,,
Ethernet Frame Tampering,T,"Raw Ethernet frames can easily be tampered with.  Usage is strongly discouraged but may be appropriate in some cases with point-to-point networks, however, even then they should be used only with extreme caution.",Check Manually,Check Manually,Check Manually,Check Manually,,
{flow.Name} Tampering,T,Raw TCP connections are easily subject to man-in-the-middle attacks.  Strongly authenticated/hashed protocols are generally required.  An acceptable mitigation is using a TLS/SSL wrapper.,Check Manually,Check Manually,Check Manually,Check Manually,,
Syslog Tampering,T,"To reduce the risk of tampering, syslog data needs to be forwarded to a dissimilar, separate, operating system.",Check Manually,Check Manually,Check Manually,Check Manually,,
EMR Tampering,T,"Tampering with data stored in an EMR system could result incorrect medical record content thereby resulting in misdiagnosis, incorrect treatment, etc.  If not already handled by {target.Name}, use cryptographic signing to prevent out-of-band tampering with medical data.",Check Manually,Check Manually,Check Manually,Check Manually,,
PHI at Rest Tampering,T,"Attackers may attempt to modify PHI to avoid billing, or to cause misdiagnosis of a patient.  Recommend using cryptographic signing to protect against modification of PHI.",Check Manually,Check Manually,Check Manually,Check Manually,,
Pharmaceutical Pump safety aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,"{target.Name} may have patient safety related aspects.  Consider whether the following items should be addressed by the RAC [safety risk process]: 1)  tampering with settings of the pump could impact rate of pharmaceutical delivery 2) spoofing communications from the {source.Name} could result in undesired administration of a drug 3) denial of service attacks could result in missing doses of necessary pharmaceuticals (or in the case of diagnostic imaging, absence of contrast agent during an exam)",Check Manually,Check Manually,Check Manually,Check Manually,,
Ionizing Radiation Source safety aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,{target.Name} may have patient safety related aspects.  Consider whether the following items should be addressed by the RAC [safety risk process]: 1)  tampering with settings of the {target.Name} could result in higher-than-intended radiation dosage 2) spoofing communications from the {source.Name} could result in undesired administration of radiation 3) denial of service attacks could result in inability to perform scans at critical times 4) denial of service attacks could result in administering contrast agent when the radiation source is not available to perform imaging.,Check Manually,Check Manually,Check Manually,Check Manually,,
Communicating with a Medical Component across a trust boundary,7aa66497-ce96-4295-b2cc-ef556daf0c13,"Due to inherent safety risks associated with medical components, it is strongly recommended that communications should stay within the same zone of trust.  Consider whether there are safety risks relating to {flow.Name} that should be addressed in the RAC [safety risk process]",Check Manually,Check Manually,Check Manually,Check Manually,,
Image Detector Safety Aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,"{target.Name} may have patient safety related aspects.  Consider whether the following items should be addressed by the RAC [safety risk process]: 1) An attacker could tamper with sensitivity settings on  {target.Name} thereby causing poor images and/or a larger radiation dose 2) An attacker could tamper with the settings of {target.Name} to report bad pixels that are actually valid pixels, thereby reducing quality of the image and potentially contributing to misdiagnosis",Check Manually,Check Manually,Check Manually,Check Manually,,
{target.Name} has inappropriate connection,7aa66497-ce96-4295-b2cc-ef556daf0c13,Emergency stops must not accept incoming data.  The only acceptable architectural solution is to hardwire the button directly to circuitry which will control the shutdown sequence.,Check Manually,Check Manually,Check Manually,Check Manually,,
{source.Name} using wireless,7aa66497-ce96-4295-b2cc-ef556daf0c13,Emergency stops must not communicate over wireless.  The only acceptable architectural solution is to hardwire the button directly to circuitry which will control the shutdown sequence.,Check Manually,Check Manually,Check Manually,Check Manually,,
Sensor Safety Aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,"{target.Name} may have patient safety related aspects.  Consider whether the following item should be addressed by the RAC [safety risk process]: An attacker may reconfigure or spoof a sensor, causing downstream impacts to the rest of the medical device, potentially leading to inaccurate medical decisions and/or unsafe activation of physical component",Check Manually,Check Manually,Check Manually,Check Manually,,
Emergency Stop Safety Aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,"{source.Name} may have patient safety related aspects.  Consider whether the following item should be addressed by the RAC [safety risk process]: 1) There are well-known cases in which emergency stop buttons have been disabled due to deliberate tampering.  Recommend including mitigations such as a built-in self-test of emergency shutdown mechanisms or in cases where it would be suitable, a backup e-stop. 2) Accidental or intentional use of {source.Name} can prevent usage of medically necessary equipment.",Check Manually,Check Manually,Check Manually,Check Manually,,
Safety Interlock Safety Aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,{source.Name} may have patient safety related aspects.  Consider whether the following items should be addressed by the RAC [safety risk process]: 1) Physical tampering could result in activating the medical device while an unsafe condition exists 2) Unable to begin medical procedure because the interlock  is reporting inaccurate data.,Check Manually,Check Manually,Check Manually,Check Manually,,
PACS Safety Aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,"Consider whether the following items should be addressed by the RAC [safety risk process]: 1) Tampering with data stored on a PACS could result incorrect medical record content thereby resulting in misdiagnosis, incorrect treatment, etc. Using cryptographic signing to prevent out-of-band tampering with medical data is recommended.  2) Disabling the PACS would be a prime target for an attacker with malicious intent.  A non-functional PACS could prevent clinicians from seeing necessary images in a timely fashion.",Check Manually,Check Manually,Check Manually,Check Manually,,
Integrity of data transmitted from {source.Name} to {target.Name},7aa66497-ce96-4295-b2cc-ef556daf0c13,Consider whether the following item should be addressed by the RAC [safety risk process]:  Malicious tampering with PHI sent between the {source.Name} and {target.Name} could lead to misdiagnosis or other inappropriate medical actions.   Recommend using a data flow type that will to ensure the integrity of the data transmitted.,Check Manually,Check Manually,Check Manually,Check Manually,,
DICOM tampering safety,7aa66497-ce96-4295-b2cc-ef556daf0c13,Consider whether the following item should be addressed by the RAC [safety risk process]: Using unencrypted DICOM would make it possible for an attacker to tamper with images to reverse Right and Left or otherwise modify the image to intentionally bring harm to patients.,Check Manually,Check Manually,Check Manually,Check Manually,,
Lower Trusted Subject Updates Logs,R,"If you have trust levels, is anyone other outside of the highest trust level allowed to log? Letting everyone write to your logs can lead to repudiation problems. Only allow trusted code to log.",CR 6.1,CR 6.2,CR 6.1 RE (1),CR 6.1 RE (1),{target.Name}  and {source.Name} ,
Data Logs from an Unknown Source,R,Do you accept logs from unknown or weakly authenticated users or systems? Identify and authenticate the source of the logs before accepting them.,CR 6.1,CR 6.2,CR 6.1 RE (1),CR 6.1 RE (1),{target.Name}  and {source.Name} ,
Insufficient Auditing,R,Does the log capture enough data to understand what happened in the past? Do your logs capture enough data to understand an incident after the fact? Is such capture lightweight enough to be left on all the time? Do you have enough data to deal with repudiation claims? Make sure you log sufficient and appropriate data to handle a repudiation claims. You might want to talk to an audit expert as well as a privacy expert about your choice of data.,Check Manually,Check Manually,Check Manually,Check Manually,,
Potential Weak Protections for Audit Data,R,"Consider what happens when the audit mechanism comes under attack, including attempts to destroy the logs, or attack log analysis programs. Ensure access to the log is through a reference monitor, which controls read and write separately. Document what filters, if any, readers can rely on, or writers should expect",CR 6.1 and CR 3.4 and CR 2.1,CR 6.2,CR 6.1 RE (1),CR 6.1 RE (1),{target.Name}  and {source.Name} ,
Potential Data Repudiation by {target.Name},R,"{target.Name} claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,{source.Name} ,
